fluid,T_evap_C,T_cond_C,Tcrit_C,critical_margin_C,T1_C,T2_C,T2s_C,T3_C,T4_C,discharge_temp_C,COP,cooling_effect_kJ_kg,compressor_work_kJ_kg,P_evap_kPa,P_cond_kPa,pressure_ratio,h1_kJ_kg,h2_kJ_kg,h2s_kJ_kg,h3_kJ_kg,h4_kJ_kg,s1_kJ_kgK,s2s_kJ_kgK,s2_kJ_kgK,s3_kJ_kgK,s4_kJ_kgK,x4_quality,warnings,valid,outdoor_temp_C,condenser_approach_C,cop_degradation_percent
R134a,10,50,101.06196658495134,51.061966584951335,15.0,67.79264015338612,58.53082375719521,45.0,9.999999999999886,67.79264015338612,4.117586362904028,145.11804299390863,35.24347280273208,414.6074673626597,1317.9054900117076,3.178682473798591,409.01475560916236,444.2582284118945,433.68518657107484,263.89671261525376,263.89671261525376,1.738553859019728,1.738553859019728,1.7699968251955014,1.2133577538934432,1.2261853694562972,0.26381064821507555,[],True,40,10,0.0
R134a,10,51,101.06196658495134,50.061966584951335,15.0,69.01096005462051,59.60471841033359,46.0,9.999999999999886,69.01096005462051,3.988472541136309,143.59895110297936,36.003494977570604,414.6074673626597,1351.3448253093727,3.259335471947357,409.01475560916236,445.01825058673296,434.2172020934618,265.415804506183,265.415804506183,1.738553859019728,1.738553859019728,1.77056600107577,1.2180316932419115,1.231550341700441,0.27177481343454246,[],True,41,10,3.135667606900135
R134a,10,52,101.06196658495134,49.061966584951335,15.0,70.22588932051349,60.67924872684932,47.0,9.999999999999886,70.22588932051349,3.8651323339128436,142.0741909555382,36.757911161015855,414.6074673626597,1385.4171416605313,3.341515169693503,409.01475560916236,445.77266677017826,434.7452934218735,266.9405646536242,266.9405646536242,1.738553859019728,1.738553859019728,1.7711265006689658,1.2227066085095033,1.2369353325089916,0.27976869570512153,[],True,42,10,6.131116793701807
R134a,10,53,101.06196658495134,48.061966584951335,15.0,71.43753196336343,61.754506996544364,48.0,9.999999999999886,71.43753196336343,3.747156397884161,140.54363976246577,37.5067450725633,414.6074673626597,1420.130600464146,3.425241251677576,409.01475560916236,446.5215006817257,435.2694771599567,268.4711158466966,268.4711158466966,1.738553859019728,1.738553859019728,1.7716784299849015,1.2273828333585666,1.242340775535912,0.2877929387751204,[],True,43,10,8.996288902574761
R134a,10,54,101.06196658495134,47.061966584951335,15.0,72.6459913830758,62.83058491449992,49.0,9.999999999999886,72.6459913830758,3.6341724067676697,139.007170087079,38.250020782782755,414.6074673626597,1455.4934613334897,3.510533639425169,409.01475560916236,447.26477639194513,435.7897701571103,270.0075855220834,270.0075855220834,1.738553859019728,1.738553859019728,1.7722218931441978,1.232060711657365,1.2477671208489498,0.295848210758697,[],True,44,10,11.740226276527173
R134a,10,55,101.06196658495134,46.061966584951335,15.0,73.8513703725456,63.90757351402982,50.0,9.999999999999886,73.8513703725456,3.525840928857517,137.4646495939629,38.98776274019421,414.6074673626597,1491.5140866997801,3.5974125024505255,409.01475560916236,448.0025183493566,436.30618952729833,271.5501060151995,271.5501060151995,1.738553859019728,1.738553859019728,1.7727569924691178,1.2367405980778534,1.253214835816692,0.30393520545266184,[],True,45,10,14.371172378499134
R134a,10,56,101.06196658495134,45.061966584951335,15.0,75.05377112255968,64.98556309330206,51.0,9.999999999999886,75.05377112255968,3.4218518416631074,135.91594078001037,39.71999580027163,414.6074673626597,1528.2009467552555,3.685898270178836,409.01475560916236,448.734751409434,436.81875266935253,273.09881482915205,273.09881482915205,1.738553859019728,1.738553859019728,1.7732838285740464,1.24142285873553,1.2586844060584454,0.3120546437465606,[],True,46,10,16.896658865710755
R134a,10,57,101.06196658495134,44.061966584951335,15.0,76.25329522632433,66.06464313530444,52.0,9.999999999999886,76.25329522632433,3.3219212036310575,134.36090068615974,40.446745256719296,414.6074673626597,1565.5626247646635,3.776011644757127,409.01475560916236,449.4615008658817,437.3274772888659,274.65385492300265,274.65385492300265,1.738553859019728,1.738553859019728,1.7738025004558764,1.246107871874944,1.2641763364622973,0.32020727513395203,[],True,47,10,19.32358156324882
R134a,10,58,101.06196658495134,43.061966584951335,15.0,77.45004368370888,67.14490222104257,53.0,9.999999999999886,77.45004368370888,3.22578851624342,132.7993805881916,41.1680368751646,414.6074673626597,1603.6078227772641,3.867773614831154,409.01475560916236,450.18279248432697,437.8323814217776,276.2153750209708,276.2153750209708,1.738553859019728,1.738553859019728,1.7743131055844095,1.2507960286046802,1.2696911522771241,0.3283938793334705,[],True,48,10,21.658266956947216
R134a,10,59,101.06196658495134,42.061966584951335,15.0,78.64411690535127,68.22642793542599,54.0,9.999999999999886,78.64411690535127,3.1332143206704997,131.23122566480959,41.88389692944032,414.6074673626597,1642.3453677749603,3.9612054703742006,409.01475560916236,450.89865253860273,438.3334834597706,277.7835299443528,277.7835299443528,1.738553859019728,1.738553859019728,1.7748157399929967,1.2554877336860049,1.2752294002848301,0.3366152680289857,[],True,49,10,23.906530561250353
R134a,10,60,101.06196658495134,41.061966584951335,15.0,79.8356147168073,69.30930676579459,55.0,9.999999999999886,79.8356147168073,3.043978082084819,129.6562746410872,42.594352240632986,414.6074673626597,1681.7842182961679,4.056328818663319,409.01475560916236,451.60910784979535,438.83080217760545,279.3584809680752,279.3584809680752,1.738553859019728,1.738553859019728,1.7753104983696213,1.260183406379603,1.2807916500595866,0.3448722867389073,[],True,50,10,26.07372830091706
R134a,10,61,101.06196658495134,40.061966584951335,15.0,81.02463636294516,70.39362399281708,56.0,9.999999999999886,81.02463636294516,2.9578763220937834,128.07435940521805,43.29943021909666,414.6074673626597,1721.933471579657,4.153165601509707,409.01475560916236,452.31418582825904,439.32435676253004,280.9403962039443,280.9403962039443,1.738553859019728,1.738553859019728,1.775797474148572,1.2648834813551848,1.2863784953213533,0.353165816825456,[],True,51,10,28.1648018668959
